pfam_acc	evalue
zzz	PF08024.12	1
zzz	PF08026.12	1
zzz	PF08036.12	1
zzz	PF08102.12	1
zzz	PF08103.12	1
zzz	PF08104.12	1
zzz	PF03230.14	1
zzz	PF02822.15	1
zzz	PF03589.14	1
zzz	PF05586.12	1
zzz	PF15721.6	1
zzz	PF03098.16	1
zzz	PF18678.2	1
zzz	PF01786.18	1
zzz	PF15001.7	1
zzz	PF15745.6	1
zzz	PF00847.21	1
zzz	PF14796.7	1
zzz	PF06375.12	1
zzz	PF14807.7	1
zzz	PF17908.2	1
zzz	PF02558.17	1
zzz	PF08546.12	1
zzz	PF02424.16	1
zzz	PF05839.12	1
zzz	PF05841.12	1
zzz	PF18122.2	1
zzz	PF14921.7	1
zzz	PF05972.12	1
zzz	PF05956.12	1
zzz	PF16689.6	1
zzz	PF05923.13	1
zzz	PF18797.2	1
zzz	PF16634.6	1
zzz	PF16635.6	1
zzz	PF16636.6	1
zzz	PF16630.6	1
zzz	PF16633.6	1
zzz	PF18862.2	1
zzz	PF16977.6	1
zzz	PF15360.7	1
zzz	PF18946.1	1
zzz	PF04110.14	1
zzz	PF04108.13	1
zzz	PF04106.13	1
zzz	PF04111.13	1
zzz	PF17675.2	1
zzz	PF04109.17	1
zzz	PF01636.24	1
zzz	PF06105.13	1
zzz	PF14557.7	1
zzz	PF04655.15	1
zzz	PF05918.12	1
zzz	PF00807.18	1
zzz	PF11671.9	1
zzz	PF05355.12	1
zzz	PF05778.13	1
zzz	PF05418.12	1
zzz	PF04711.14	1
zzz	PF12491.9	1
zzz	PF18769.2	1
zzz	PF18772.2	1
zzz	PF18771.2	1
zzz	PF18775.2	1
zzz	PF18774.2	1
zzz	PF05240.15	1
zzz	PF08210.12	1
zzz	PF04691.13	1
zzz	PF15119.7	1
zzz	PF01333.20	1
zzz	PF16639.6	1
zzz	PF05461.12	1
zzz	PF01442.19	1
zzz	PF15148.7	1
zzz	PF07464.12	1
zzz	PF11032.9	1
zzz	PF09769.10	1
zzz	PF05634.12	1
zzz	PF10515.10	1
zzz	PF12924.8	1
